,index,name,Day_Night,address,addressLocality,MapsLink,telephone
31,11,Hakiri Slaheddine ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA MATEUR,Bizerte ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA MATEUR, Tunisie, Bizerte",['  72 46 61 52  ']
32,12,Chamari Hanen Ep Mekki ,Pharmacie de jours,  85 Avenue du 15 Octobre Lacania,Tunis ,"http://maps.google.com/?q= 85 Avenue du 15 Octobre Lacania, Tunisie, Tunis",['  71 49 37 71  ']
33,13,Azouz Zouhair ,Pharmacie de jours,  19 AVENUE EL AMIR ABDELKADER,Bizerte ,"http://maps.google.com/?q= 19 AVENUE EL AMIR ABDELKADER, Tunisie, Bizerte",
34,14,Ben Hadid Mohamed ,Pharmacie de jours,"  3,RUE IBN KHALDOUN KELIBIA",Nabeul ,"http://maps.google.com/?q= 3,RUE IBN KHALDOUN KELIBIA, Tunisie, Nabeul",['  72 29 63 10  ']
35,15,Jebri Hatem ,Pharmacie de jours,  avenue 7 novembre,Gafsa ,"http://maps.google.com/?q= avenue 7 novembre, Tunisie, Gafsa",
36,16,Krifa Mohamed ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA N?1,Jendouba ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA N?1, Tunisie, Jendouba",['  78 64 53 97  ']
37,17,Ferjani Taoufik ,Pharmacie de jours,"  30,RUE HEDI CHAKER HAMMAM SOUSSE",Sousse ,"http://maps.google.com/?q= 30,RUE HEDI CHAKER HAMMAM SOUSSE, Tunisie, Sousse",['  73 36 20 27  ']
38,18,Chakri Nadhem ,Pharmacie de jours,  RTE DE RAOUED KM 3,Ariana ,"http://maps.google.com/?q= RTE DE RAOUED KM 3, Tunisie, Ariana",['  71 76 23 40  ']
39,19,Ben Aounalah Mohamed ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA,Médenine ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA, Tunisie, Médenine",['  75 66 63 33  ']
40,0,Lejmi Mohamed Ali ,Pharmacie de nuit,  RUE HANABALL,Sousse ,"http://maps.google.com/?q= RUE HANABALL, Tunisie, Sousse",['  73 22 53 38  ']
41,1,Jalloul Jamel ,Pharmacie de jours,"  234,AVENUE MOHAMED ALI",Gabès ,"http://maps.google.com/?q= 234,AVENUE MOHAMED ALI, Tunisie, Gabès",['  75 27 11 22  ']
42,2,Ben Fredj Mohamed Moncef ,Pharmacie de jours,  110 Place Bab Souika,Tunis ,"http://maps.google.com/?q= 110 Place Bab Souika, Tunisie, Tunis",['  71 56 00 79  ']
43,3,Najar Zied ,Pharmacie de jours,  AVENUE PRINCIPALE EL MOUENSA,Médenine ,"http://maps.google.com/?q= AVENUE PRINCIPALE EL MOUENSA, Tunisie, Médenine",['  75 68 01 33  ']
44,4,Fradi Walid ,Pharmacie de nuit,  AVENUE BELGACEM CHENOUFI,Kairouan ,"http://maps.google.com/?q= AVENUE BELGACEM CHENOUFI, Tunisie, Kairouan",
45,5,Khalfallah Moncef ,Pharmacie de nuit,  PLACE 1er MAI MAHDIA,Mahdia ,"http://maps.google.com/?q= PLACE 1er MAI MAHDIA, Tunisie, Mahdia",['  73 68 14 90  ']
46,6,Ouahchi Zeineb Ep Charchour ,Pharmacie de jours,"  7,BORJ KHEFACHA RTE DE SKANES",Monastir ,"http://maps.google.com/?q= 7,BORJ KHEFACHA RTE DE SKANES, Tunisie, Monastir",['  73 46 42 78  ']
47,7,Kchaou Jamil ,Pharmacie de jours,  ROUTE DE GABES KM 2 MEDENINE EL JADIDA,Médenine ,"http://maps.google.com/?q= ROUTE DE GABES KM 2 MEDENINE EL JADIDA, Tunisie, Médenine",
48,8,Kechaou Afef ,Pharmacie de jours,  ROUTE DE TUNIS KM 9,Sfax ,"http://maps.google.com/?q= ROUTE DE TUNIS KM 9, Tunisie, Sfax",
49,9,Grissa Samira Ep Kasdallah ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA,Monastir ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA, Tunisie, Monastir",
50,10,Bouhaouela Slaheddine ,Pharmacie de jours,  RUE KOUBINE,Monastir ,"http://maps.google.com/?q= RUE KOUBINE, Tunisie, Monastir",['  73 47 50 02  ']
51,11,Ben Moussa Mustapha ,Pharmacie de nuit,"  125,AVENUE HABIB BOURGUIBA M'SAKEN",Sousse ,"http://maps.google.com/?q= 125,AVENUE HABIB BOURGUIBA M'SAKEN, Tunisie, Sousse",['  73 25 90 27  ']
52,12,Baccour Nejib ,Pharmacie de jours,  AVEUE 5 AOUT SFAX,Sfax ,"http://maps.google.com/?q= AVEUE 5 AOUT SFAX, Tunisie, Sfax",['  74 22 00 88  ']
53,13,Bel Kacem Slah ,Pharmacie de jours,  March? Kabaria Rue 10013,Tunis ,"http://maps.google.com/?q= March? Kabaria Rue 10013, Tunisie, Tunis",['  71 49 40 53  ']
54,14,Hammami Kamel ,Pharmacie de nuit,  RUE HABIB THAMEUR N? 76,Siliana ,"http://maps.google.com/?q= RUE HABIB THAMEUR N? 76, Tunisie, Siliana",
55,15,Mahrez Alia ,Pharmacie de jours,  Magasin Moderne Cit? Ibn Khaldoun,Tunis ,"http://maps.google.com/?q= Magasin Moderne Cit? Ibn Khaldoun, Tunisie, Tunis",['  71 22 03 47  ']
56,16,El Madani Salaheddine ,Pharmacie de jours,  AVENUE 18 JANVIER,Tataouine ,"http://maps.google.com/?q= AVENUE 18 JANVIER, Tunisie, Tataouine",
57,17,Ksouri Neziha Ep El Ouni ,Pharmacie de nuit,"  7, AVENUE DE LA REPUBLIQUE RADES",Ben Arous ,"http://maps.google.com/?q= 7, AVENUE DE LA REPUBLIQUE RADES, Tunisie, Ben Arous",['  71 44 15 87  ']
58,18,Marouani Fakhreddine ,Pharmacie de jours,"  47,AVENUE TAIEB MHIRI",Kasserine ,"http://maps.google.com/?q= 47,AVENUE TAIEB MHIRI, Tunisie, Kasserine",['  77 47 07 27  ']
59,19,"Mhirsi Mahmoud, Mounir, Emna ",Pharmacie de jours,  AVENUE HABIB BOURGUIBA N?31,Ben Arous ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA N?31, Tunisie, Ben Arous",['  71 29 00 26  ']
60,0,Hammami Abderrazek ,Pharmacie de nuit,  IMMEUBLE FAIEZ AVENUE MAJIDA BOULILA N?5 -SFAX M,Sfax ,"http://maps.google.com/?q= IMMEUBLE FAIEZ AVENUE MAJIDA BOULILA N?5 -SFAX M, Tunisie, Sfax",
61,1,Gueddana Mohamed Hedi ,Pharmacie de jours,  EZZAHRA,Ben Arous ,"http://maps.google.com/?q= EZZAHRA, Tunisie, Ben Arous",['  71 48 18 50  ']
62,2,Hammami Kamel ,Pharmacie de nuit,  RUE HABIB THAMEUR N? 76,Siliana ,"http://maps.google.com/?q= RUE HABIB THAMEUR N? 76, Tunisie, Siliana",
63,3,Dhifaoui Jomaa ,Pharmacie de jours,  SOUK EL BALADI BOUHAJLA KAIROUAN,Kairouan ,"http://maps.google.com/?q= SOUK EL BALADI BOUHAJLA KAIROUAN, Tunisie, Kairouan",['  77 26 61 93  ']
64,4,El Ghribi Chiraz ,Pharmacie de nuit,  cit? el kilani - 10 avenue mongi slim,Gabès ,"http://maps.google.com/?q= cit? el kilani - 10 avenue mongi slim, Tunisie, Gabès",
65,5,Ouerghi Abdelmajid ,Pharmacie de jours,  42 Rue Sbikda,Tunis ,"http://maps.google.com/?q= 42 Rue Sbikda, Tunisie, Tunis",['  71 39 58 17  ']
66,6,Marouani Fakhreddine ,Pharmacie de jours,"  47,AVENUE TAIEB MHIRI",Kasserine ,"http://maps.google.com/?q= 47,AVENUE TAIEB MHIRI, Tunisie, Kasserine",['  77 47 07 27  ']
67,7,"Mhirsi Mahmoud, Mounir, Emna ",Pharmacie de jours,  AVENUE HABIB BOURGUIBA N?31,Ben Arous ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA N?31, Tunisie, Ben Arous",['  71 29 00 26  ']
68,8,Hammami Abderrazek ,Pharmacie de nuit,  IMMEUBLE FAIEZ AVENUE MAJIDA BOULILA N?5 -SFAX M,Sfax ,"http://maps.google.com/?q= IMMEUBLE FAIEZ AVENUE MAJIDA BOULILA N?5 -SFAX M, Tunisie, Sfax",
69,9,Barouni Tarek ,Pharmacie de jours,  ROUTE HOUMET SOUK_ ZARZIS,Médenine ,"http://maps.google.com/?q= ROUTE HOUMET SOUK_ ZARZIS, Tunisie, Médenine",['  75 65 14 00  ']
70,10,El Ferktaji Remeki Dalanda ,Pharmacie de jours,  3 Rue casablanca Ras Tabia Cit? Romana,Tunis ,"http://maps.google.com/?q= 3 Rue casablanca Ras Tabia Cit? Romana, Tunisie, Tunis",['  71 51 66 44  ']
71,11,Jarraya Slim ,Pharmacie de nuit,  ROUTE EL HAOUARIA - BIR MROUA,Nabeul ,"http://maps.google.com/?q= ROUTE EL HAOUARIA - BIR MROUA, Tunisie, Nabeul",
72,12,Djaait Mohamed ,Pharmacie de jours,  Rue de la verori Hafsia,Tunis ,"http://maps.google.com/?q= Rue de la verori Hafsia, Tunisie, Tunis",['  71 24 20 43  ']
73,13,Dakhli Mokhtar ,Pharmacie de jours,  ROUTE DE MEDENINE ZARZIS CENTER IMMEUBLE GOUMIDH,Médenine ,"http://maps.google.com/?q= ROUTE DE MEDENINE ZARZIS CENTER IMMEUBLE GOUMIDH, Tunisie, Médenine",['  75 68 20 80  ']
74,14,Aloui Fadhel ,Pharmacie de jours,"  11,AVENUE AIN EL KAIED CITE ENNOUR",Kasserine ,"http://maps.google.com/?q= 11,AVENUE AIN EL KAIED CITE ENNOUR, Tunisie, Kasserine",['  77 47 21 64  ']
75,15,Kharrat Badia Ep Rekik ,Pharmacie de jours,  ROUTE SOLTANIA KM 8,Sfax ,"http://maps.google.com/?q= ROUTE SOLTANIA KM 8, Tunisie, Sfax",
76,16,Bibi Slaheddine ,Pharmacie de jours,  2 RUE DE LA CONSTITUTION,Ben Arous ,"http://maps.google.com/?q= 2 RUE DE LA CONSTITUTION, Tunisie, Ben Arous",['  71 44 05 55  ']
77,17,Saihi Ghazi ,Pharmacie de nuit,  71 AVENUE HABIB BOURGUIBA,Manouba ,"http://maps.google.com/?q= 71 AVENUE HABIB BOURGUIBA, Tunisie, Manouba",
78,18,Jeljeli Abdessalam ,Pharmacie de nuit,  AVENUE MONGI SLIM ESPACE ZOGHLAMI LE KEF,Kef ,"http://maps.google.com/?q= AVENUE MONGI SLIM ESPACE ZOGHLAMI LE KEF, Tunisie, Kef",['  78 22 28 80  ']
79,19,Dardouri Cyrine ,Pharmacie de nuit,  avenue de l'environnement,Tozeur ,"http://maps.google.com/?q= avenue de l'environnement, Tunisie, Tozeur",
80,0,Saidi Ridha ,Pharmacie de jours,"  5,RUE DE TUNIS",Jendouba ,"http://maps.google.com/?q= 5,RUE DE TUNIS, Tunisie, Jendouba",['  78 63 29 26  ']
81,1,Dardouri Cyrine ,Pharmacie de nuit,  avenue de l'environnement,Tozeur ,"http://maps.google.com/?q= avenue de l'environnement, Tunisie, Tozeur",
82,2,Saidi Ridha ,Pharmacie de jours,"  5,RUE DE TUNIS",Jendouba ,"http://maps.google.com/?q= 5,RUE DE TUNIS, Tunisie, Jendouba",['  78 63 29 26  ']
83,3,Bechraoui Jamel Abdennaceur ,Pharmacie de jours,"  76,BOULEVARD MOHAMED ALI",Gabès ,"http://maps.google.com/?q= 76,BOULEVARD MOHAMED ALI, Tunisie, Gabès",['  75 27 23 50  ']
84,4,Boumaiza Mohamed ,Pharmacie de jours,  28 AVENUE HABIB BOURGUIBA - MORNAGUIA - LA MANOUBA,Manouba ,"http://maps.google.com/?q= 28 AVENUE HABIB BOURGUIBA - MORNAGUIA - LA MANOUBA, Tunisie, Manouba",
85,5,Khemiri Hafidha ,Pharmacie de jours,  AVENUE FARHAT HACHED,Bizerte ,"http://maps.google.com/?q= AVENUE FARHAT HACHED, Tunisie, Bizerte",
86,6,Kharrat Badia Ep Rekik ,Pharmacie de jours,  ROUTE SOLTANIA KM 8,Sfax ,"http://maps.google.com/?q= ROUTE SOLTANIA KM 8, Tunisie, Sfax",
87,7,Annabi Samia Ep Farah ,Pharmacie de nuit,  COMLEXE COMMERCIAL EL OUROUD CITE ESSALEM MC 39 BO,Ben Arous ,"http://maps.google.com/?q= COMLEXE COMMERCIAL EL OUROUD CITE ESSALEM MC 39 BO, Tunisie, Ben Arous",['  71 29 05 33  ']
88,8,Liouane Hedi ,Pharmacie de jours,  ROUTE GP12 CENTRE DU VILLAGE SIDI EL HANI SOUSSE,Sousse ,"http://maps.google.com/?q= ROUTE GP12 CENTRE DU VILLAGE SIDI EL HANI SOUSSE, Tunisie, Sousse",
89,9,Garram Hatem ,Pharmacie de jours,  36 RUE HABIB BOUGATFA BARDO 2000,Tunis ,"http://maps.google.com/?q= 36 RUE HABIB BOUGATFA BARDO 2000, Tunisie, Tunis",
90,10,Cheikhrouhou Jaouida B Mosbah ,Pharmacie de jours,"  9,AVENUE HABIB BOURGUIBA",Ariana ,"http://maps.google.com/?q= 9,AVENUE HABIB BOURGUIBA, Tunisie, Ariana",['  71 71 40 08  ']
91,11,Gharbi Hajer Ep Mejdi ,Pharmacie de jours,  68 AVENUE 7 NOVEMBRE CITE ETTADHAMEN,Ariana ,"http://maps.google.com/?q= 68 AVENUE 7 NOVEMBRE CITE ETTADHAMEN, Tunisie, Ariana",['  71 22 30 64  ']
92,12,Meddeb Rafida Ep Khrouf ,Pharmacie de jours,  12.AVENUE AMMAR IBN YASSER-EL MENEAH6,Ariana ,"http://maps.google.com/?q= 12.AVENUE AMMAR IBN YASSER-EL MENEAH6, Tunisie, Ariana",
93,13,Grira Mhala Samira ,Pharmacie de jours,  AVEBUE 18 JANVIER,Monastir ,"http://maps.google.com/?q= AVEBUE 18 JANVIER, Tunisie, Monastir",['  73 46 13 70  ']
94,14,Dorghame Mouna ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA CEBALA DE MORNAG,Ben Arous ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA CEBALA DE MORNAG, Tunisie, Ben Arous",['  71 36 00 81  ']
95,15,Ben Ghorbal Hmed ,Pharmacie de jours,  5 AVENUE HABIB BOURGUIBA HAMMAM LIF,Ben Arous ,"http://maps.google.com/?q= 5 AVENUE HABIB BOURGUIBA HAMMAM LIF, Tunisie, Ben Arous",['  71 29 28 87  ']
96,16,Bel Hedi Samia Ep Kechaichia ,Pharmacie de jours,  RUE DE L'INDEPENDANCE RTE DE CHABAOU,Manouba ,"http://maps.google.com/?q= RUE DE L'INDEPENDANCE RTE DE CHABAOU, Tunisie, Manouba",
97,17,Chaouch Ridha ,Pharmacie de nuit,"  33, RUE CHEDLY KALLALA MONASTIR",Monastir ,"http://maps.google.com/?q= 33, RUE CHEDLY KALLALA MONASTIR, Tunisie, Monastir",['  73 46 33 11  ']
98,18,Labbene Idir Leila ,Pharmacie de jours,  Rue 10078 N?177 Ouardia IV,Tunis ,"http://maps.google.com/?q= Rue 10078 N?177 Ouardia IV, Tunisie, Tunis",['  71 49 77 81  ']
99,19,Guenaien Lotfi ,Pharmacie de jours,"  CITE IBN SINA N?1 ,RUE 10656 N?17",Tunis ,"http://maps.google.com/?q= CITE IBN SINA N?1 ,RUE 10656 N?17, Tunisie, Tunis",
100,0,Ghrairi Salem ,Pharmacie de jours,  AVENUE DE LA REPUBLIQUE 4030,Sousse ,"http://maps.google.com/?q= AVENUE DE LA REPUBLIQUE 4030, Tunisie, Sousse",['  73 25 00 33  ']
101,1,Moussa Jarrara Sihem Ep Bel Ha ,Pharmacie de jours,  COMPLEXE SIRINE - RUE DE PARIS - BOUMHEL EL BASSAT,Ben Arous ,"http://maps.google.com/?q= COMPLEXE SIRINE - RUE DE PARIS - BOUMHEL EL BASSAT, Tunisie, Ben Arous",
102,2,Chaniour Mohamed ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA SKHIRA SFAX,Sfax ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA SKHIRA SFAX, Tunisie, Sfax",['  74 29 51 54  ']
103,3,Chahed Mahmoud ,Pharmacie de jours,  AVENUE AHMED TLILI N? 21 RUE AHMED EL GANDOUR RUE,Tataouine ,"http://maps.google.com/?q= AVENUE AHMED TLILI N? 21 RUE AHMED EL GANDOUR RUE, Tunisie, Tataouine",['  75 86 12 49  ']
104,4,Achour Moncef ,Pharmacie de jours,"  25,AVENUE DE L'UNION KALAAT SENANE LE KEF",Kef ,"http://maps.google.com/?q= 25,AVENUE DE L'UNION KALAAT SENANE LE KEF, Tunisie, Kef",['  78 28 61 86  ']
105,5,Ben Saad Said ,Pharmacie de jours,  02 avenue de la republique,Kairouan ,"http://maps.google.com/?q= 02 avenue de la republique, Tunisie, Kairouan",['  73 25 33 20 / 98 40 49 30  ']
106,6,Mestiri Abdelhamid ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA,Mahdia ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA, Tunisie, Mahdia",['  73 68 30 19  ']
107,7,Abbassi Mongi ,Pharmacie de jours,  ROUTE DE TABARKA NEFZA,Béja ,"http://maps.google.com/?q= ROUTE DE TABARKA NEFZA, Tunisie, Béja",
108,8,Ouerghi Aroua ,Pharmacie de nuit,  AVENUE HABIB BOURGUIBA N?153,Béja ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA N?153, Tunisie, Béja",
109,9,Ajoua Ahmed ,Pharmacie de jours,  2 Rue Omar Ibn Cheikh,Tunis ,"http://maps.google.com/?q= 2 Rue Omar Ibn Cheikh, Tunisie, Tunis",['  71 89 32 71  ']
110,10,Driss Mohamed ,Pharmacie de jours,  AVENUE DE LA MOSQUEE ERRAOUDHA LA SOUKRA,Ariana ,"http://maps.google.com/?q= AVENUE DE LA MOSQUEE ERRAOUDHA LA SOUKRA, Tunisie, Ariana",['  71 71 64 70  ']
111,11,Henchiri Mourad ,Pharmacie de jours,  Centre Commerciale Carthage Dermeche,Tunis ,"http://maps.google.com/?q= Centre Commerciale Carthage Dermeche, Tunisie, Tunis",['  71 27 56 83  ']
112,12,El Amari Mohamed Ali ,Pharmacie de jours,  9 AVENUE HABIB BOURGUIBA,Manouba ,"http://maps.google.com/?q= 9 AVENUE HABIB BOURGUIBA, Tunisie, Manouba",['  71 52 01 43  ']
113,13,Bouattour Mohamed ,Pharmacie de jours,  63 AV . HABIB BOURGUIBA,Tunis ,"http://maps.google.com/?q= 63 AV . HABIB BOURGUIBA, Tunisie, Tunis",['  71 22 74 06  ']
114,14,Jemai Adel ,Pharmacie de jours,  PLACE DE L'INDEPENDANCE,Tataouine ,"http://maps.google.com/?q= PLACE DE L'INDEPENDANCE, Tunisie, Tataouine",
115,15,Essouei Jamil ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA,Bizerte ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA, Tunisie, Bizerte",
116,16,Bouaziz Najda ,Pharmacie de jours,"  12,RUE IBN KHALDOUN N?12 SOUSSE",Sousse ,"http://maps.google.com/?q= 12,RUE IBN KHALDOUN N?12 SOUSSE, Tunisie, Sousse",
117,17,Alleegue Ilhem Ep Skhiri ,Pharmacie de jours,  IMMEUBLE ABDELHAMID EL AMIRI - R.C - AVENUE DE L'E,Monastir ,"http://maps.google.com/?q= IMMEUBLE ABDELHAMID EL AMIRI - R.C - AVENUE DE L'E, Tunisie, Monastir",
118,18,Ennaifer Mohamed Mondher ,Pharmacie de jours,"  74,bis avenue farhat hached -kram ouest",Tunis ,"http://maps.google.com/?q= 74,bis avenue farhat hached -kram ouest, Tunisie, Tunis",
119,19,Chaarani Naima Ep Laaouiti ,Pharmacie de jours,  AVENUE HABIB EL KARMA N? 24 NABEUL,Nabeul ,"http://maps.google.com/?q= AVENUE HABIB EL KARMA N? 24 NABEUL, Tunisie, Nabeul",
120,0,Baccouche Bechir ,Pharmacie de nuit,  AVENUE DE LA REPUBLIQUE NO 12 BIS,Sousse ,"http://maps.google.com/?q= AVENUE DE LA REPUBLIQUE NO 12 BIS, Tunisie, Sousse",['  73 25 61 06  ']
121,1,Maalej Taoufik ,Pharmacie de jours,  CITE MESSAADINE-ROUTE DE SOUKRA KM3-IMMEUBLE SOR,Sfax ,"http://maps.google.com/?q= CITE MESSAADINE-ROUTE DE SOUKRA KM3-IMMEUBLE SOR, Tunisie, Sfax",
122,2,Imen Klai ,Pharmacie de jours,"  1, Rue de b?ja",Nabeul ,"http://maps.google.com/?q= 1, Rue de b?ja, Tunisie, Nabeul",[' 71111111']
123,3,Najjar Faouzia ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA - CHENINI- GABES OUEST -G,Gabès ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA - CHENINI- GABES OUEST -G, Tunisie, Gabès",
124,4,Bouraoui Mahmoud ,Pharmacie de jours,"  11,RUE DU DOCTEUR MOREAU SOUSSE JAWHARA",Sousse ,"http://maps.google.com/?q= 11,RUE DU DOCTEUR MOREAU SOUSSE JAWHARA, Tunisie, Sousse",['  73 22 28 80  ']
